1606092900138,6ex,775920313,9gti3olh,1565080819,jfvf7k9kwiiq7gdx,BlockBlob/application/octet-stream,kq2su6bhi0,30.0,True,False
1606928903185,6ex,1252244298,7c51my6n,1191849141,1fjxqoqi2nc5njpg,BlockBlob/application/zip,ibd6a5v5pv,1938488.0,True,False
1606355700058,iic,1495523193,uf2u84b0,1302383289,tp783etybrgxap8x,BlockBlob/,6mreka6qhr,36.0,False,True
1606924856178,iic,705112778,1jgfqbn6,1869133266,80lssrlkciitddx9,BlockBlob/,if8foq3a81,2204780.0,False,True
1606658957997,6ex,1252244298,15dp5na6,1468781831,juijw2ldiogyem3c,BlockBlob/application/zip,414fgngli4,359512.0,True,False
1607112300152,6ex,775920313,9gti3olh,1295453212,jfvf7k9kwiiq7gdx,BlockBlob/application/octet-stream,284ch54082,30.0,False,True
1606503075688,6ex,1252244298,15dp5na6,2036833686,458tx5dahj5899lw,BlockBlob/application/zip,4onmllfmko,9133145.0,True,False
1607116392146,6ex,1252244298,7c51my6n,370268971,smjqrwi2rs79pj94,BlockBlob/application/zip,u9alwi718v,10959903.0,True,False
1606350306782,iic,705112778,1jgfqbn6,1803750047,mftk3vmnnjqtsh5x,BlockBlob/,rmklly7yi7,2174646.0,False,True
1607120776671,iic,705112778,1jgfqbn6,727113198,wojfqaxkqyw0yjnr,BlockBlob/,lg8yackklu,1237629.0,False,True
1606923014214,iic,705112778,1jgfqbn6,1418982855,h4h8u7hlcgj41ghh,BlockBlob/,s0gbo53rb8,1672405.0,False,True
1606346646519,6ex,1252244298,15dp5na6,561913016,kr72ccpsmpmp8g67,BlockBlob/application/zip,2jkwwv4rjc,1060914.0,True,False
1607122954448,iic,705112778,1jgfqbn6,270443039,3dhaqamlc8hfjfjk,BlockBlob/,idxu0dd1rf,1191581.0,False,True
1606921162875,iic,705112778,dny5oefw,1232558894,3si9suf7op22h8la,BlockBlob/,46ab6rkn6g,1742179.0,False,True
1606503609380,6ex,1252244298,15dp5na6,806130083,lq5b8k5plu1j5xkk,BlockBlob/application/zip,gbjqfy49cn,6712363.0,True,False
